"name"	"prefix"	"type"
"ALENE"		"ST"
"OLIVIA"		"ST"
"1ST"	"W"	"ST"
"1ST"	"E"	"ST"
"2ND"	"E"	"ST"
"2ND"	"W"	"ST"
"3RD"	"E"	"ST"
"3RD"	"W"	"ST"
"4TH"	"E"	"ST"
"4TH"	"W"	"ST"
"5TH"	"W"	"ST"
"5TH"	"E"	"ST"
"6TH"	"E"	"ST"
"6TH"	"W"	"ST"
"7TH"	"E"	"ST"
"8TH"	"E"	"ST"
"ABLE"		"ST"
"ACOSTA"		"DR"
"ADELL"		"ST"
"AGNES"		"ST"
"ALAMO"		"ST"
"ALFRED"	"E"	"ST"
"ALFRED"	"W"	"ST"
"ALICE"		"AVE"
"ALVIN"		"AVE"
"AMBAR"		"DR"
"APPLE"		"LN"
"APPLING"		"ST"
"ASH"		"ST"
"AUGUST"		"ST"
"AVE A"		"ST"
"AVE B"		"ST"
"AVE C"		"ST"
"AVE D"		"ST"
"AVE E"		"ST"
"AVE F"		"ST"
"AVE G"		"ST"
"AVE H"		"ST"
"AVE I"		"ST"
"AVE J"		"ST"
"AVE K"		"ST"
"BAILEY"		"ST"
"BARBARA"		"ST"
"BARD"		"ST"
"BEACH"		"ST"
"BECKY"		"ST"
"BELLMAN"		"ST"
"BENCHMARK"		"DR"
"BETTY"		"ST"
"BLOSSOM MEYER"		"ST"
"BLUE CREEK"		"RD"
"BLUE CREEK"	"N"	"RD"
"BLUEBONNET"		"LN"
"BODE"		"ST"
"BORDEN"		"CIR"
"BRANDES"		"ST"
"BRAVO"		"ST"
"BRENT"		"ST"
"BRIAR"		"LN"
"BROOK BEND"		"LN"
"BRUCE"		"ST"
"BRUNS"		"ST"
"BU 59S"	"E"	"HWY"
"BU 59S"	"W"	"HWY"
"BUNTON"		"DR"
"BURDETTE"		"ST"
"BUSINESS"		"AVE"
"BYRNE"		"ST"
"CALHOUN"	"E"	"ST"
"CALHOUN"	"W"	"ST"
"CANDY"		"ST"
"CENTER"		"ST"
"CENTRAL"		"ST"
"CHAPEL"		"LN"
"CHARLIE"		"ST"
"CHERYL"		"DR"
"CHINA"		"ST"
"CHURCH"	"E"	"ST"
"CHURCH"	"W"	"ST"
"CLARA"		"AVE"
"CLIFFORD"		"ST"
"COLLEGE"		"ST"
"CORBETT"		"ST"
"CORN"		"AVE"
"CORRELL"	"E"	"ST"
"CORRELL"	"W"	"ST"
"COTTON"		"AVE"
"CR 303"		"RD"
"CR 305"		"RD"
"CR 306"		"RD"
"CR 307"		"RD"
"CR 340"		"RD"
"CR 341"		"RD"
"CR 346"		"RD"
"CR 351"		"RD"
"CR 355"		"RD"
"CR 357"		"RD"
"CR 358"		"RD"
"CR 360"		"RD"
"CR 362"		"RD"
"CR 385"		"RD"
"CR 400"		"RD"
"CR 402"		"RD"
"CR 403"		"RD"
"CR 404"		"RD"
"CR 405"		"RD"
"CR 406"		"RD"
"CR 407"		"RD"
"CR 421"		"RD"
"CR 451"		"RD"
"CR 452"		"RD"
"CR 454"		"RD"
"CR 479"		"RD"
"CRYSTAL"		"LN"
"DABNEY"		"LN"
"DAM"		"RD"
"DEL NORTE"		"DR"
"DELBUR"		"ST"
"DELLA"		"ST"
"DELTA"		"ST"
"DEPOT"		"ST"
"DICKSON"		"ST"
"DIVIDE"		"AVE"
"DONALD"		"ST"
"DONNA"		"DR"
"DORIS"		"ST"
"DOROTHY"		"ST"
"DOVE"		"ST"
"DOVE"		"RD"
"DUCKETT"		"ST"
"DUNCAN"		"ST"
"DUNLAP"		"ST"
"EARL"		"ST"
"EAST"		"ST"
"EDGEBROOK"		"DR"
"EL PRADO"		"CT"
"ELEANOR"		"ST"
"ELLA"		"ST"
"ELLEN"		"ST"
"ELLIS"		"ST"
"ELLWOOD"	"S"	"RD"
"ELLWOOD"		"ST"
"ELM"		"ST"
"EMERALD"		"CT"
"EMPIRE"		"ST"
"ERIN"		"ST"
"EUGENE"		"ST"
"EVELINE"		"ST"
"FAHRENTHOLD"		"ST"
"FARLEY"		"AVE"
"FLAX"		"AVE"
"FLORA"		"ST"
"FM 1162"		"RD"
"FM 1163"		"RD"
"FM 1300"		"RD"
"FM 2765"		"RD"
"FM 441"	"N"	"RD"
"FM 960"		"RD"
"FOERSTER"		"ST"
"FOLTYN"		"ST"
"FORREST"		"ST"
"FRANK STUBBS"		"DR"
"FRANKE"		"ST"
"FRANKLIN"		"ST"
"FRED"		"ST"
"FRELS"		"ST"
"GALLERY"		"CT"
"GARCIA"		"ST"
"GARDEN"		"CT"
"GARY"		"CIR"
"GEORGIA"		"ST"
"GIBSON"		"ST"
"GLADYS"		"ST"
"GRACE"		"ST"
"GREELY"		"ST"
"GUSMAN"		"ST"
"HANCOCK"		"LN"
"HARDY"		"ST"
"HARLEM"		"ST"
"HAYDEN"		"ST"
"HEFNER"		"ST"
"HEIGHTS"		"AVE"
"HENSON"		"ST"
"HERNANDEZ"		"ST"
"HERRMANN"		"DR"
"HIGBEE"		"ST"
"HIGHLAND"		"ST"
"HILLJE"	"E"	"ST"
"HILLJE"	"W"	"ST"
"HOSKINS BROADWAY"		"ST"
"HUMPHREY"		"LN"
"HUTCHINS"		"LN"
"IDA MAE"		"ST"
"JACKSON"	"W"	"ST"
"JACKSON"	"E"	"ST"
"JAMES"		"AVE"
"JAN"		"ST"
"JENNIE"		"ST"
"JESSE"		"ST"
"JOHN"		"ST"
"JUDY"		"ST"
"JULIA"		"ST"
"JULIUS"		"ST"
"KAREN"		"ST"
"KAREN"		"CIR"
"KAYLA"		"LN"
"KENTUCKY"		"ST"
"KENWOOD"		"TRL"
"KERNEY"		"ST"
"KEY"		"ST"
"KIRBY"		"RD"
"LAKEVIEW "		"LN"
"LAKEVIEW 1"		"RD"
"LAKEVIEW 2"		"RD"
"LAKEVIEW 3"		"RD"
"LAKEVIEW 4"		"RD"
"LAMAR"		"CIR"
"LAMPLEY"		"ST"
"LAURA ANN"		"ST"
"LAUREL"		"LN"
"LEE"		"DR"
"LENORA"		"LN"
"LIBERTY"	"N"	"ST"
"LIBERTY"	"S"	"ST"
"LILLY"		"ST"
"LINCOLN"		"ST"
"LINDALE"		"CIR"
"LINDALE"		"DR"
"LINNWOOD"		"ST"
"LIVE OAK"		"LN"
"LOOP 526"		"HWY"
"LOUISE"		"AVE"
"LUNDY"		"AVE"
"LYNN"		"ST"
"LYNNER"		"ST"
"MABLE"		"AVE"
"MAGGIE"		"ST"
"MAIN"		"ST"
"MAREK"		"RD"
"MARGARET"		"ST"
"MARIANETTE"		"ST"
"MARION"		"AVE"
"MARKET"		"ST"
"MARTIN"	"W"	"RD"
"MARTIN"		"ST"
"MARY"		"ST"
"MAYFIELD"		"AVE"
"MCGREW"		"ST"
"MEADOW"	"S"	"LN"
"MEADOW"		"LN"
"MEADOW CREEK"		"DR"
"MEADOWBROOK"		"LN"
"MECHANIC"	"N"	"ST"
"MECHANIC"	"S"	"ST"
"MEMORIAL"		"DR"
"MERCHANT"		"ST"
"MESA CROSSING"		"ST"
"MICHAEL"		"ST"
"MLK"		"BLVD"
"MOCKINGBIRD"		"LN"
"MONSERATTE"	"E"	"ST"
"MONSERATTE"	"W"	"ST"
"MUNCY"		"ST"
"MYATT"		"LN"
"MYATT"		"CIR"
"MURRAY"		"RD"
"NANCY LOU"		"ST"
"NELSON"		"ST"
"NEWPORT"		"ST"
"NORDEEN"		"ST"
"NORRIS"	"E"	"ST"
"NORRIS"	"W"	"ST"
"OAK"		"ST"
"ODIS"		"ST"
"OLIVE"		"ST"
"OLIVIA"		"ST"
"OMEGA"		"ST"
"OSCAR"		"ST"
"OTELL"		"ST"
"PALACIOS"		"ST"
"PALM"		"ST"
"PAYNE"	"N"	"DR"
"PEACH"		"ST"
"PECAN"		"ST"
"PIERCE"		"ST"
"PINCHOT"		"ST"
"PLAZA"		"ST"
"POINT WEST"		"DR"
"PRAIRIE SWITCH"		"RD"
"PROSPERITY"		"ST"
"QUAIL HOLLOW"		"DR"
"RAILROAD"	"W"	"ST"
"RAILROAD"	"E"	"ST"
"RAUN"		"LN"
"REBE SUE"		"ST"
"REED"		"RD"
"REEVES"		"DR"
"REGENCY"		"DR"
"RICE"		"AVE"
"RICEBIRD"		"LN"
"RIPPLE"		"DR"
"RITA"		"ST"
"ROBERT"		"LN"
"ROBERTS"		"ST"
"ROBERTS"	"W"	"ST"
"ROEHL"		"ST"
"RONALD"		"CIR"
"ROOSEVELT"		"AVE"
"ROSEBUD"		"TRL"
"ROSEMARY"		"ST"
"ROTH"		"ST"
"ROYAL"		"ST"
"RUTH"		"ST"
"SABLA"		"ST"
"SAM"		"ST"
"SAM BISHKIN"		"RD"
"SAM HOUSTON"		"DR"
"SANDY CORNER"		"RD"
"SENTINEL"		"DR"
"SERENA"		"DR"
"SH 71"	"S"	"HWY"
"SH 71"	"N"	"HWY"
"SHIMEK"		"ST"
"SHORT"		"ST"
"SHROPSHIRE"		"ST"
"SINGLETON"		"ST"
"SOCHA"		"ST"
"SONATA"		"CT"
"SOUTH"		"ST"
"SPRUCE"		"AVE"
"ST LUKES"		"DR"
"STAFFORD"		"ST"
"STRAND"	"W"	"ST"
"STRAND"	"E"	"ST"
"SUE"		"ST"
"SUE ANN"		"ST"
"TALLOW"		"LN"
"TAYLOR"		"ST"
"TEGNER"		"ST"
"THOMPSON"		"ST"
"THRIFT"		"ST"
"TINA"		"CIR"
"TOWN AND COUNTRY"		"DR"
"TROCHTA"		"ST"
"TURA"		"ST"
"TUREK"		"ST"
"US 59"		"HWY"
"US 59"		"RD"
"VALLEJO"		"ST"
"VASA"		"ST"
"WALLACE"		"ST"
"WALNUT"		"ST"
"WANDA"		"LN"
"WASHINGTON"	"S"	"ST"
"WASHINGTON"	"N"	"ST"
"WATT"	"W"	"ST"
"WATT"	"E"	"ST"
"WAY"		"AVE"
"WAYNE"		"ST"
"WEBB"	"E"	"ST"
"WEBB"	"W"	"ST"
"WENDEL"		"ST"
"WEST"		"LP"
"WEST"	"W"	"ST"
"WEST"	"E"	"ST"
"WESTCREEK"		"DR"
"WESTERN ACRES"		"DR"
"WESTMOOR"		"RD"
"WHARTON"	"S"	"ST"
"WHARTON"	"N"	"ST"
"WHITEWING"		"TRL"
"WILBUR"		"ST"
"WILLIAM"		"ST"
"WILLIE"		"ST"
"WILLIS"		"ST"
"WILLOW CREEK"		"DR"
"WILSON"		"RD"
"WRIGHT"		"ST"
"YUPON"		"AVE"
