EID,VID,LID,OTH
982000374771599,24-YELLOW,8055,B1-B-P
982000374772190,18-YELLOW,814,B1-B
982000374772194,154-WHITE,822,B1-B
982000374771587,21-YELLOW,,B1-B
982000374771585,212-WHITE,828,B1-B
982000374772193,250-YELLOW,8174,B1
982000373732046,784S4-YELLOW,ZR,BS-B-P
982000374771563,47S1-YELLOW,ZR,BS
982000374771579,19-YELLOW,ZR,BS
982000373732053,2Y-YELLOW,1/1,BS-B
982000374771564,698Y-YELLOW,,BS-B-P
982000374771592,50-YELLOW,,CM-W-P
982000374771582,31-YELLOW,,CM-B-P
982000374771588,167Z-WHITE,,CM-B-P
982000373732066,5B-YELLOW,2/3,BS-B-P
982000374771590,BLANK-YELLOW,2/2,CM-P
982000374771597,42Y-YELLOW,,BS-B-P
982000374772151,23Z-YELLOW,23Z,BS-B-P
982000374772169,42-YELLOW,,CM-W-P
982000374772198,20-YELLOW,,CM-B-P
124000230166860,106Y-WHITE,,CH-B-P
124000230166764,126Y-WHITE,MAIN 126Y,CH-B-P
124000230166861,420B-WHITE,,CH-B-P
124000230166856,345A-WHITE,,CH-B-P
124000225346274,386A-WHITE,,CH-B-B1
124000230166761,326A-WHITE,,CH-B-P
124000230166695,332A-WHITE,,CH-B-P
124000225346288,372A-WHITE,,CH-B-S
982000376416829,308A-WHITE,,CH-B-P
982000376416839,301A-WHITE,,CH-B-P
982000373732065,236Z-YELLOW,,CH-B-P
982000374771594,9-ORANGE,,CM-B-P
982000373732069,10-ORANGE,1/0,CM-BWF-H
982000374772155,11-ORANGE,R BAR,CM-B-P
982000374771595,12-1-WHITE,1/9,CM-BWF-P
982000373732062,8Y-WHITE,3/0,CM-B-P
982000374772199,333-YELLOW,,CM-B-S
982000374772177,6-ORANGE,,CM-B-P
982000374771598,3-ORANGE,,CM-RWF-H
982000373732025,52-BLUE,2/1,CM-RWF-P
982000374771551,201-WHITE,4/0,CM-B-P
982000374772186,4-ORANGE,,CM-B-P
982000376416830,19-ORANGE-1,,CM-BRD-H
982000374772161,160-WHITE,,CM-B-P
928000374771553,17-ORANGE,4/1,CM-RWF-P
982000374772200,10BUTLER-YELLOW,,CM-B-P
982000374771576,30-WHITE,1/8,CM-B-P
982000376416817,246Z-WHITE,,CH-B-P
124000234726555,247Z-WHITE,,CH-B-P
124000234726557,248Z-WHITE,,CH-B-P
124000234726579,1014X-WHITE,,CH-B-B1
982000376416796,264Z-WHITE,,CH-B-P
982000373732043,3B-WHITE,,CH-B-P
982000373732031,12C-WHITE,,CM-B-P
982000374771558,34-YELLOW,3/3,BS-B-P
982000373732067,14C-WHITE,,CH-B-P
982000374772166,30-YELLOW,5/4,BS-B-P
982000374772171,33-YELLOW,,BS-B-P
982000374772157,311-YELLOW,,BS-B-P
982000374771570,99-BLUE,,BS-B-P
982000373732070,50-YELLOW-1,15/4,BS-B-P
982000373732032,100-BLUE,5/4,BS-B-P
982000373732030,98-BLUE,11/4,BS-B-P
982000374772158,79-YELLOW,,BS-B-P
982000374771566,40-WHITE,,BS-B-P
982000374772192,22-ORANGE,,BS-B-H
982000374771573,53-BLUE,,CM-BWF-H
982000374771562,23-ORANGE,,BS-B-P
982000374772165,51-BLUE,,BS-B-P
982000374772170,39-YELLOW,,BS-B-P
982000373732055,15C-WHITE,,CH-B-P
982000373732072,11C-WHITE,,CH-B-P
982000373732033,18C-WHITE,,CH-B-P
982000373732049,17C-WHITE,,CH-B-P
982000374771584,36TB-PURPLE,,BS-B-P
982000374771559,80T6B-PURPLE,,BS-B-P
982000374771556,526WA2-PURPLE,,BS-B-P
982000373732050,6C-WHITE,,CH-B-H
982000373732073,7C-WHITE,,CH-B-P
982000373732047,9C-WHITE,,CH-B-P
982000374771575,369-BLUE,22/4,BS-B-P
982000373732057,8C-WHITE,,CH-B-P
982000373732035,19C-WHITE,,CH-B-P
982000373732024,20C-WHITE,,CH-B-P
982000373732059,21C-WHITE,,CH-B-S
982000376416802,38C-WHITE,,CM-BWF-P
982000373732061,5C-WHITE,,CH-B-P
982000376416834,24C-WHITE,,CM-BWF-P
982000374771557,330-BLUE,,BS-B-P
982000374772182,8-BLUE,,BS-B-P
982000373732040,20-WHITE,7/4,BS-B-P
982000374772195,333-BLUE,,BS-B-P
982000374772180,328-BLUE,,BS-B-P
982000374772156,336-BLUE,,BS-B-P
982000376416818,47-BLUE,,BS-B-P
982000374772159,370-BLUE,,BS-B-P
982000374772160,378-BLUE,,BS-B-P
982000374772191,377-BLUE,,BS-B-P
124000218247666,511C-WHITE,,CH-B-P
124000218247670,529C-WHITE,,CH-B-P
124000218247708,524C-WHITE,,CH-B-P
124000221507575,522C-WHITE,,CH-B-P
124000218247669,531C-WHITE,,CH-B-P
124000218247643,525C-WHITE,,CH-B-P
124000218247672,540C-WHITE,,CH-B-B1
124000259856896,510C-WHITE,CAN,CH-B-B1
124000225986496,561C-WHITE,,CH-B-P
124000218247649,527C-WHITE,,CH-B-P
982000376416843,185C-WHITE,CAN,CH-B-P
124000218247693,25C-CAN,CAN,CH-B-P
124000218247671,28C-CAN,CAN,CH-B-P
124000218247696,36C-CAN,CAN,CH-B-P
124000218247701,37C-CAN,CAN,CH-B-P
124000218247695,44C-CAN,CAN,CH-B-P
124000229099143,52C-CAN,CAN,CH-B-B1
124000229099142,53C-CAN,CAN,CH-B-P
124000229099141,54C-CAN,CAN,CH-B-P
124000218247703,5C-CAN,CAN,CH-B-S
982000376416809,50C-WHITE,,CH-B-P
982000376416842,56C-WHITE,,CH-B-S
982000376432064,53C-WHITE,,CH-B-P
982000376416799,57C-WHITE,,CH-B-P
982000376416824,51C-WHITE,,CH-B-B1
982000376416827,58C-WHITE,,CH-B-P
982000376416819,4D-WHITE,,CH-B-P
982000376416833,3D-WHITE,,CH-B-B1
982000376416806,14D-WHITE,,CH-B-P
982000376416828,7D-WHITE,,CH-B-P
982000373732048,19-ORANGE,,CM-B-P
982000374772152,24-ORANGE,,CM-RWF-H
982000376416831,132E-WHITE,,CH-B-P
982000376416844,134E-WHITE,,CH-B-B1
982000376416800,135E-WHITE,,CH-B-P
982000376416804,133E-WHITE,,CH-B-P
982000376416825,136E-WHITE,,CH-B-P
982000376416823,137E-WHITE,,CH-B-P
982000374772184,EID-TEST,EID-TEST,CH-B-P
