"id","legacy_id","animal_id","sire_animal_id","tank_id","canister","collection_code","sex","grade","stage","collection_date","embryo_frozen","embryo_number","status","purchased","purchase_date","purchased_from_contact_id","purchase_price","asking_price","sale_date","sale_price","sold_to_contact_id","comments","created_at","updated_at","flush_id"
"575146","","22160830","22160740","21646","2","GGC-24","","","","2014-03-16","true","1","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:40:59 -0500","2014-06-12 19:49:28 -0500",""
"575149","","22160830","22160740","21646","2","GGC-24","","","","2014-03-16","true","2","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:49:01 -0500","2014-06-12 21:34:03 -0500",""
"575152","","22160830","22160740","21646","2","GGC31","","","","2014-03-16","true","3","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:50:22 -0500","2014-06-12 21:34:48 -0500",""
"575155","","22160830","22160740","21646","2","GGC-25","","","","2014-03-16","true","4","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:51:11 -0500","2014-06-12 21:36:08 -0500",""
"575158","","22160830","22160740","21646","2","GGC-30","","","","2014-03-16","true","5","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:52:04 -0500","2014-06-12 21:36:42 -0500",""
"575161","","22160830","22160740","21646","2","GGC-26","","","","2014-03-16","true","6","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 19:52:49 -0500","2014-06-12 21:37:13 -0500",""
"575164","","22161166","22161190","21646","2","GFX-1","","","","2014-03-16","true","1","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:46:34 -0500","2014-06-12 21:47:52 -0500",""
"575167","","22161166","22161190","21646","2","GFX-2","","","","2014-03-16","true","2","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:47:14 -0500","2014-06-12 21:48:19 -0500",""
"575170","","22161205","22160740","21646","2","GFZ - 11","","","","2014-03-16","true","1","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:52:16 -0500","2014-06-12 21:56:29 -0500",""
"575173","","22161205","22160740","21646","2","GFZ - 14","","","","2014-03-16","true","2","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:53:06 -0500","2014-06-12 21:57:02 -0500",""
"575176","","22161205","22160740","21646","2","GFZ-12","","","","2014-03-16","true","3","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:54:37 -0500","2014-06-12 21:57:34 -0500",""
"575179","","22161205","22160740","21646","2","GFZ-15","","","","2014-03-16","true","4","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:55:22 -0500","2014-06-12 21:58:00 -0500",""
"575182","","22161205","22160740","21646","2","GFZ-10","","","","2014-03-16","true","5","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-12 21:55:59 -0500","2014-06-12 21:58:40 -0500",""
"575635","","22161205","22160740","21646","2","","","","","2014-03-16","true","GFZ","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:28:41 -0500","2014-07-01 12:01:57 -0500",""
"575638","","22161205","22160740","21646","2","","","","","2014-03-16","true","GFZ","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:30:02 -0500","2014-07-01 12:03:37 -0500",""
"575641","","22161205","22160740","21646","2","","","","","2014-03-16","true","GFZ","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:31:10 -0500","2014-07-01 12:06:20 -0500",""
"575644","","22161205","22160740","21646","2","","","","","2014-03-16","true","GFZ","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:32:04 -0500","2014-07-01 12:05:38 -0500",""
"575647","","22160830","22160740","21646","2","","","","","2014-03-16","true","GGC","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:33:19 -0500","2014-07-01 12:02:33 -0500",""
"575650","","22160830","22160740","21646","2","","","","","2014-03-16","true","GGC","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:34:02 -0500","2014-07-01 12:03:09 -0500",""
"575653","","22160830","22160740","21646","2","","","","","2014-03-16","true","GGC","Used","true","2014-06-10","1448671","450.0","","","","","","2014-06-17 11:34:48 -0500","2014-07-01 12:05:12 -0500",""
"604113","","22160830","22173322","21646","4","GMN E593","","1","","","false","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:29:42 -0500","2014-10-09 16:29:42 -0500",""
"604116","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:30:38 -0500","2014-10-09 16:30:38 -0500",""
"604119","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:31:24 -0500","2014-10-09 16:31:24 -0500",""
"604122","","22160830","22173322","21646","4","GMN E593","","1","","","false","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:32:00 -0500","2014-10-09 16:32:00 -0500",""
"604125","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:32:32 -0500","2014-10-09 16:32:32 -0500",""
"604128","","22160830","22173322","21646","4","GMO E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:36:12 -0500","2014-10-09 16:36:12 -0500",""
"604131","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:36:52 -0500","2014-10-09 16:36:52 -0500",""
"604134","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:37:28 -0500","2014-10-09 16:37:28 -0500",""
"604137","","22160830","22173322","21646","4","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:37:29 -0500","2014-10-09 16:37:29 -0500",""
"604140","","22160830","22173322","21646","1","GMN E593","","1","","","true","","Available","true","2014-10-09","1448671","450.0","","","","","","2014-10-09 16:38:07 -0500","2014-10-09 16:38:07 -0500",""
"649055","","22741778","22133515","21646","6","15088-1","","1","6","2015-03-09","true","1","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-06-24 10:38:45 -0500","68795"
"649058","","22741778","22133515","21646","6","15088-1","","1","6","2015-03-09","true","2","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649061","","22741778","22133515","21646","6","15088-1","","1","5","2015-03-09","true","3","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649064","","22741778","22133515","21646","6","15088-1","","2","5","2015-03-09","true","4","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649067","","22741778","22133515","21646","6","15088-1","","1","4","2015-03-09","true","5","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649070","","22741778","22133515","21646","6","15088-1","","1","4","2015-03-09","true","6","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649073","","22741778","22133515","21646","6","15088-1","","1","4","2015-03-09","true","7","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649076","","22741778","22133515","21646","6","15088-2","","1","4","2015-03-09","true","8","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649079","","22741778","22133515","21646","6","15088-2","","2","4","2015-03-09","true","9","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649082","","22741778","22133515","21646","6","15088-2","","2","4","2015-03-09","true","10","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 11:57:00 -0500","68795"
"649085","","22741778","22133515","","","15088","","3","4","2015-03-09","false","11","Available","false","","","","","","","","","2015-03-19 11:57:00 -0500","2015-03-19 12:04:13 -0500","68795"
"649088","","21818413","22133515","","","15089","","2","3","2015-03-09","false","1","Used","false","","","","","","","","","2015-03-19 12:00:49 -0500","2015-06-24 10:45:46 -0500","68798"
"649091","","21818413","22133515","","","15089","","3","4","2015-03-09","false","2","Used","false","","","","","","","","","2015-03-19 12:00:49 -0500","2015-06-24 10:52:44 -0500","68798"
"649094","","21818413","22133515","","","15089","","3","4","2015-03-09","false","3","Used","false","","","","","","","","","2015-03-19 12:00:49 -0500","2015-06-24 10:53:33 -0500","68798"
"649097","","21818413","22133515","","","15089","","3","4","2015-03-09","false","4","Used","false","","","","","","","","","2015-03-19 12:00:49 -0500","2015-06-24 10:54:08 -0500","68798"
"649100","","21818413","22133515","","","15089","","3","5","2015-03-09","false","5","Used","false","","","","","","","","","2015-03-19 12:00:49 -0500","2015-06-24 10:55:15 -0500","68798"
"671413","","22741778","22133515","21646","","15088","","3","4","2015-03-07","false","1","Used","false","","","","","","","","","2015-06-24 10:26:14 -0500","2015-06-24 10:43:12 -0500",""
"671416","","21818413","22133515","21646","","15089","","2","3","2015-03-09","false","1","Available","false","","","","","","","","","2015-06-24 10:27:21 -0500","2015-06-24 10:27:21 -0500",""
"671419","","21818413","22133515","21646","","15089","","3","4","2015-03-09","false","2","Available","false","","","","","","","","","2015-06-24 10:33:19 -0500","2015-06-24 10:33:19 -0500",""
"671422","","21818413","22133515","21646","","15089","","3","4","2015-03-09","false","3","Available","false","","","","","","","","","2015-06-24 10:34:17 -0500","2015-06-24 10:34:17 -0500",""
"671425","","21818413","22133515","21646","","15089","","3","4","2015-03-09","false","4","Available","false","","","","","","","","","2015-06-24 10:35:19 -0500","2015-06-24 10:35:19 -0500",""
"671428","","21818413","22133515","21646","","15089","","3","5","2015-03-09","false","5","Available","false","","","","","","","","","2015-06-24 10:36:16 -0500","2015-06-24 10:36:16 -0500",""
