"id","account_id","legacy_id","name","premise_id","acres","comments","animals_count","created_at","updated_at","vertices","color"
"327829","48210","","RL Shelley","","","","0","2014-04-29 18:50:49 -0500","2016-11-14 05:06:01 -0600","",""
"328918","48210","","NW POWELL","00KR5AH","65.0","","0","2014-05-08 06:36:45 -0500","2016-06-25 08:35:58 -0500","",""
"338297","48210","","POWELL HOUSE","00KR5AH","3.45","","0","2014-06-30 18:04:27 -0500","2017-02-09 22:35:21 -0600","[{lat : 29.184761, lng : -96.316169},{lat : 29.184765, lng : -96.315512},{lat : 29.185351, lng : -96.315574},{lat : 29.185318, lng : -96.317770},{lat : 29.184527, lng : -96.317757},{lat : 29.184583, lng : -96.316671},{lat : 29.184693, lng : -96.316679},{lat : 29.184829, lng : -96.316799},{lat : 29.184948, lng : -96.316856},{lat : 29.185067, lng : -96.316791},{lat : 29.185142, lng : -96.316722},{lat : 29.185163, lng : -96.316711},{lat : 29.185175, lng : -96.316182}]",""
"339734","48210","","RL Heifer Pasture","","","","0","2014-07-15 11:14:02 -0500","2014-08-03 19:14:41 -0500","",""
"342386","48210","","RL Shelly off site","","","","2","2014-08-03 19:21:16 -0500","2016-12-05 20:55:28 -0600","",""
"397304","48210","","BULL PASTURE","","29.0","","0","2015-05-03 16:10:40 -0500","2018-01-24 09:31:02 -0600","[{lat : 29.191919, lng : -96.319960},{lat : 29.192013, lng : -96.318222},{lat : 29.186412, lng : -96.318008},{lat : 29.186505, lng : -96.318330},{lat : 29.187198, lng : -96.319145},{lat : 29.188285, lng : -96.319746},{lat : 29.189090, lng : -96.320196},{lat : 29.189559, lng : -96.320475},{lat : 29.190271, lng : -96.320540},{lat : 29.190739, lng : -96.320733},{lat : 29.191207, lng : -96.320626},{lat : 29.191676, lng : -96.320175}]",""
"403501","48210","","POWELL NE","00KR5AH","64.0","","127","2015-06-09 05:51:49 -0500","2018-04-22 06:21:24 -0500","[{lat : 29.186805, lng : -96.309532},{lat : 29.186974, lng : -96.301421},{lat : 29.183920, lng : -96.301314},{lat : 29.183845, lng : -96.309553}]",""
"430668","48210","","HEIFER PASTURE","","20.0","","0","2015-11-27 11:36:13 -0600","2017-02-02 14:24:22 -0600","[{lat : 29.187770, lng : -96.315041},{lat : 29.186383, lng : -96.314988},{lat : 29.186487, lng : -96.309645},{lat : 29.187873, lng : -96.309763}]",""
"443994","48210","","POWELL SE","","65.0","","108","2016-02-03 06:02:31 -0600","2018-04-23 17:08:59 -0500","[{lat : 29.183920, lng : -96.301314},{lat : 29.183751, lng : -96.309489},{lat : 29.179630, lng : -96.309360},{lat : 29.179649, lng : -96.305348},{lat : 29.180154, lng : -96.305434},{lat : 29.180211, lng : -96.304382},{lat : 29.179667, lng : -96.304275},{lat : 29.179724, lng : -96.302215},{lat : 29.180866, lng : -96.302322},{lat : 29.180848, lng : -96.301163}]",""
"462123","48210","","RL NW","","","","2","2016-04-22 07:06:25 -0500","2018-04-22 06:43:41 -0500","",""
"462126","48210","","RL NE","","","","0","2016-04-22 07:06:41 -0500","2018-02-05 09:28:50 -0600","[{lat : 29.178037, lng : -96.311222},{lat : 29.179471, lng : -96.311254},{lat : 29.179452, lng : -96.310524},{lat : 29.178056, lng : -96.309591}]",""
"463317","48210","","POWELL SW","","65.0","","12","2016-04-28 07:00:21 -0500","2018-04-23 17:02:25 -0500","[{lat : 29.182215, lng : -96.317729},{lat : 29.182234, lng : -96.309575},{lat : 29.180417, lng : -96.309468},{lat : 29.180192, lng : -96.309789},{lat : 29.179574, lng : -96.309661},{lat : 29.179405, lng : -96.317707}]",""
"492651","48210","","LOUISE","","321.0","","81","2016-10-27 17:00:42 -0500","2018-04-23 09:52:02 -0500","",""
"493491","48210","","RL CENTRAL-SOUTH","","","","2","2016-11-01 15:32:53 -0500","2018-02-06 10:43:50 -0600","[{lat : 29.178000, lng : -96.313786},{lat : 29.177991, lng : -96.311833},{lat : 29.177756, lng : -96.311833},{lat : 29.177738, lng : -96.311565},{lat : 29.177213, lng : -96.311565},{lat : 29.177222, lng : -96.310664},{lat : 29.176436, lng : -96.310621},{lat : 29.176407, lng : -96.313786}]",""
"495507","48210","","RL CENTRAL-NORTH","","","","10","2016-11-13 20:54:51 -0600","2018-02-05 09:28:06 -0600","[{lat : 29.179414, lng : -96.313797},{lat : 29.179461, lng : -96.311329},{lat : 29.178019, lng : -96.311275},{lat : 29.178028, lng : -96.313786}]",""
"501630","48210","","Powell Barn ","","","","0","2016-12-13 17:26:21 -0600","2018-01-24 09:31:34 -0600","",""
