VID,Check Date,Due Date
10-ORANGE,2015-10-23,2016-02-02
1541-BLUE,2015-10-23,2016-02-02
18PXB-PURPLE,2015-10-23,2016-02-02
1B-YELLOW,2015-10-23,2016-02-02
22-YELLOW,2015-10-23,2016-02-02
250-YELLOW,2015-10-23,2016-02-02
3595XB-PURPLE,2015-10-23,2016-02-02
37-YELLOW,2015-10-23,2016-02-02
389TB-PURPLE,2015-10-23,2016-02-02
39/2,2015-10-23,2016-02-02
5216B-PURPLE,2015-10-23,2016-02-02
5-WHITE,2015-10-23,2016-02-02
7-ORANGE,2015-10-23,2016-02-02
8B-YELLOW,2015-10-23,2016-02-02
BLANK-YELLOW,2015-10-23,2016-02-02
FORTUNE,2015-10-23,2016-02-02
236Z-YELLOW,2015-10-23,2016-02-06
248Z-WHITE,2015-10-23,2016-02-06
264Z-WHITE,2015-10-23,2016-02-06
FAME,2015-10-23,2016-02-19
1413-BLUE,2015-10-23,2016-02-20
1422-BLUE,2015-10-23,2016-02-20
1-ORANGE,2015-10-23,2016-02-20
21-YELLOW,2015-10-23,2016-02-20
22-ORANGE,2015-10-23,2016-02-20
2TB-PURPLE,2015-10-23,2016-02-20
5406UA-PURPLE,2015-10-23,2016-02-20
5BUTLER-YELLOW,2015-10-23,2016-02-20
106Y-WHITE,2015-10-23,2016-02-24
246Z-WHITE,2015-10-23,2016-02-24
