serial_number,type,manufacture,model,caliper,barrel_length,finish,condition,notes,purchase_date,purchase_cost
L490065,SEMI-AUTO,B.F.I,XM15-E2S,0.223,VARIES,BLACK MAT,GOOD,Includes EOTech and Suppressor #S09-34583/GEMTECH,,
350-6172,SEMI-AUTO,"RUGGER, USA",10/22,.22lr,,SATIN,GOOD,Includes Nikon scope,,
822-57725,SEMI-AUTO,"RUGGER, USA",10/22,.22lr,,BLACK BLUING,GOOD,,,
S6629501,BOLT-ACTION,"REMINGTON, USA",700,7mm mag,,SATIN,EXCELLENT,,,
830-12370,BOLT-ACTION,"RUGGER, USA",AMERICA,.22lr,,BLUING,EXCELLENT,,,
YH015657,SEMI-AUTO,"YHM, USA",YHM-15,0.223,,BLACK MAT,EXCELLENT,,,
G6832467,BOLT-ACTION,"REMINGTON, USA",700,0.243,,CAMO,EXCELLENT,,,
700-25094,BOLT-ACTION,"REMINGTON, USA",77/22,.22lr,,BLUING,EXCELLENT,,,
F049661,SEMI-AUTO,DPMS PANTHER ARMS,A-15,0.223,,BLACK MAT,GOOD,Andy's Gun,,
A270729,SEMI-AUTO,GSG,GSG-5,.22lr,,BLACK MAT,GOOD,Andy's Gun,,
G6663187,BOLT-ACTION,"REMINGTON, USA",700,270',,SATIN,EXCELLENT,Andy's Gun,,
1101499,BOLT-ACTION,SAVAGE,93,22WMR,,SATIN,EXCELLENT,Andy's Gun,,
RCD-02244,SEMI-AUTO,"RUGGER, USA",10/22/15,.22LR,,BLUING,EXCELLENT,Collector's gun,,
