"id","sale_ticket_id","name","amount","per","created_at","updated_at"
"132533","691040","Auction Deduction","4.43","price","2014-07-15 17:58:12 -0500","2014-07-15 18:00:03 -0500"
"135485","704336","Auction Deduction","4.34","price","2014-09-04 08:08:05 -0500","2014-09-04 08:10:04 -0500"
"145169","762785","Commission","4.5","price","2014-12-02 17:17:44 -0600","2014-12-02 17:17:44 -0600"
"150554","786005","Commission","4.85","price","2015-01-28 14:56:18 -0600","2015-01-28 14:56:18 -0600"
"166858","856423","Commission","4.52","price","2015-07-28 16:19:23 -0500","2015-07-28 16:21:16 -0500"
"170154","870876","Commission","53.43","head","2015-09-09 10:39:39 -0500","2015-09-09 10:39:39 -0500"
"190125","948678","Marketing","5.15","price","2016-03-10 06:28:21 -0600","2016-03-10 06:28:21 -0600"
"196974","964401","Marketing","4.53","price","2016-04-27 14:44:40 -0500","2016-04-27 14:44:40 -0500"
"199887","976398","Commission","20.8","head","2016-05-26 11:56:52 -0500","2016-05-26 11:56:52 -0500"
"214827","1024164","Deductions","27.88","head","2016-11-01 15:45:03 -0500","2016-11-01 15:58:46 -0500"
"214830","1024179","Deductions","38.98","head","2016-11-01 15:56:30 -0500","2016-11-01 15:57:23 -0500"
"219465","1034598","Commission","4.76","price","2016-12-05 11:23:00 -0600","2016-12-05 11:23:00 -0600"
"219810","1037964","Commission","5.25","price","2016-12-06 14:51:36 -0600","2016-12-06 14:51:36 -0600"
"221511","1042626","Commission","4.85","price","2016-12-23 08:34:14 -0600","2016-12-23 08:34:14 -0600"
"223104","1051848","Commission","4.72","price","2017-01-11 10:01:13 -0600","2017-01-11 10:01:45 -0600"
"239262","1094778","Commission","5.34","price","2017-05-02 18:05:02 -0500","2017-05-02 18:05:02 -0500"
"271257","1189848","Commission","21.35","head","2018-01-26 11:55:49 -0600","2018-01-26 11:55:49 -0600"
"283568","1228088","Commission","33.86","head","2018-04-23 09:56:50 -0500","2018-04-23 09:56:50 -0500"
