"id","tank_id","note_date","category","note_details","created_at","updated_at"
"856","21646","2014-06-16","Nitrogen Level","36cm","2014-06-16 12:24:46 -0500","2014-07-21 22:17:52 -0500"
"866","21646","2014-07-21","Nitrogen Level","28cm","2014-07-21 22:17:29 -0500","2014-07-21 22:18:00 -0500"
"881","21646","2014-08-26","Refilled","","2014-08-27 17:06:13 -0500","2014-08-27 17:06:13 -0500"
"906","21646","2014-10-09","Nitrogen Level","33cm","2014-10-09 16:38:27 -0500","2014-10-09 16:38:27 -0500"
"1013","21646","2015-02-11","Refilled","Goode Cattle","2015-02-11 15:26:58 -0600","2015-02-11 15:26:58 -0600"
"1050","21646","2015-03-12","Nitrogen Level","33cc","2015-03-12 14:26:00 -0500","2015-03-12 14:26:00 -0500"
"1097","21646","2015-05-13","Refilled","","2015-05-13 08:27:29 -0500","2015-05-13 08:27:29 -0500"
"1129","21646","2015-07-04","Nitrogen Level","26cc","2015-07-04 15:37:47 -0500","2015-07-04 15:37:47 -0500"
"1153","21646","2015-08-26","Refilled","","2015-08-27 19:14:33 -0500","2015-08-27 19:14:33 -0500"
"1206","21646","2015-10-23","Refilled","","2015-10-26 05:48:07 -0500","2015-10-26 05:48:07 -0500"
"1284","21646","2016-01-26","Refilled","Hodges in EC","2016-01-26 11:48:06 -0600","2016-01-26 11:48:06 -0600"
"1455","21646","2016-06-13","Refilled","","2016-06-13 11:05:50 -0500","2016-06-13 11:05:50 -0500"
"1956","21646","2017-07-19","Refilled","","2017-07-19 11:42:52 -0500","2017-07-19 11:42:52 -0500"
"2148","21646","2017-12-15","Refilled","","2017-12-15 10:55:29 -0600","2017-12-15 10:55:29 -0600"
